features,95,100,106,112,118,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,89,94,102,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,108,120,121,124
Ay_1,0.00454545,0.00431655,0.00460123,0.0046225,0.00473934,0.00247091,0.000138045,0.0012238,8.84E-05,0.000394822,0.00710784,0.00176245,0.000943396,0.000385802,2.70E-04,0.00101455,0.000508701,0.00451534,0.0359244,7.51E-03,0.000966921,0.000891473,0.0198896,0.0045045,0.00461538,0.00434783,5.79E-03,0.000768246,0.00157362,0.000781472,0.00709748,0.0054046,0.0153745,0.00524887,5.39E-03,0.0077365,0.00316814,0.0469113,3.01E-02,0.000747384,0.0149341,4.61E-03,0.00463679,4.74E-03,4.38E-03
Ay_2,0.00808081,0.00767386,0.00817996,0.00821777,0.00842549,0.00151443,0.000635008,0.00158075,0.000486188,4.16E-05,0.00539216,0.00045977,0.00071568,0.000289352,4.16E-05,0.000174923,2.95E-04,0.0073849,2.57E-02,0.00568773,0.00147583,0.00131783,2.07E-02,0.00800801,0.00820513,0.00772947,0.00757996,2.85E-03,0.0011289,0.00632282,0.00571347,0.0120019,0.0129106,0.00509804,0.0048951,0.00860764,0.0078072,0.0472171,0.0375722,0.0062282,5.62E-03,0.00819252,0.00824317,0.00842549,0.00778589
Ay_3,0.00555556,0.00527578,0.00562372,0.00564972,0.00579252,0.00207237,0.000386527,0.00137678,0.00041989,0.000353261,0.00833333,0.00137931,0.00146389,4.82E-04,0.000353328,0.000104954,0.000240964,0.00544373,4.75E-02,0.0175093,0.00111959,0.000503876,0.0229623,0.00550551,0.00564103,0.00531401,0.00653232,0.000512164,1.47E-03,0.0052927,0.00259058,0.0069328,0.0204993,0.00570136,0.0031968,0.00939581,0.00254582,0.0462385,0.0387676,0.00672646,0.00284807,0.00563236,0.00566718,0.00579252,0.0053528
Ay_4,0.0030303,0.0028777,0.00306748,0.00308166,0.00315956,0.000876773,0.000331309,0.000713885,0.000265193,0.000311701,0.00661765,0.000996169,0.000487964,0.000739455,3.12E-04,0.000384831,0.000107095,0.000295396,0.0255462,7.21E-03,0.000610687,0.000310078,0.0197245,0.003003,0.00307692,0.00289855,0.00628582,0.000608195,0.00119732,0.00337454,0.00475531,0.00328003,0.000164258,0.00558069,0.0035964,0.00657499,0.00226296,0.049052,0.0305018,0.00697559,0.00365137,0.0030722,0.00309119,0.00315956,0.00291971
Ay_5,0.00151515,0.00143885,0.00153374,0.00154083,0.00157978,0.000557947,0.000193263,0.000254959,0.000220994,0.000187021,0.00784314,0.000613027,0.00100846,0.000160751,0.000187056,0.000559754,0.000160643,0.000168798,0.0215126,0.0282156,0.000305344,7.75E-05,0.0255394,0.0015015,0.00153846,0.00144928,0.00733346,0.000160051,0.00140257,0.000994601,0.00738138,0.00395095,9.86E-05,0.00458522,0.0026973,0.00856615,0.00396017,0.0476453,0.000136626,0.000166085,0.00328623,0.0015361,0.0015456,0.00157978,0.00145985
Az_1,0.00656566,0.00623501,0.0250511,0.0169492,0.0147446,0.00215208,0.000828272,0.000662893,0.000309392,0.000477942,0.0120098,0.00091954,0.000650618,3.22E-04,0.000478031,0.000559754,0.00042838,0.00151918,0.0336134,0.00107807,0.00661578,0.000775194,0.00188324,0.00550551,0.00307692,1.35E-02,0.00086276,1.09E-03,0.00160783,0.00237994,0.000709748,0.0288494,0.000854139,3.43E-02,0.0224775,0.0322735,0.0546504,0.0475229,0.00444035,0.0127055,0.00178917,0.0588838,6.70E-03,0.00895208,0.00827251
Az_2,0.00555556,0.00719424,0.0148262,0.0200308,0.00842549,0.00199267,0.000441745,0.00056091,0.00039779,0.000394822,0.0137255,0.00191571,0.000520494,0.000385802,0.000394895,0.0004548,0.000374833,0.000843989,0.047479,0.000111524,0.00829517,0.000348837,0.000660786,0.00750751,0.00205128,0.0333333,5.52E-02,0.00163252,0.00184729,0.0412759,0.000603286,0.0308249,0.00111695,0.0298944,0.0434565,0.0136893,0.0192351,0.000183486,0.00515763,0.000249128,5.44E-03,0.0266257,0.00927357,0.00684571,0.00486618
Az_3,0.0040404,0.00479616,0.0219836,0.00924499,0.00473934,0.00151443,0.000607399,0.000458926,0.000220994,0.000290921,0.0112745,0.00229885,0.000325309,0.000257202,0.000290976,0.000734677,0.00021419,0.000675191,0.0447059,0.00115242,0.00157761,0.000542636,0.000528629,0.00950951,0.00923077,0.0101449,0.000801134,0.00150448,0.000342091,0.0238704,0.000496824,0.0492378,0.00065703,0.0472398,0.0414585,0.0058283,0.0492193,0.0481346,0.00389384,0.000830427,0.000949356,0.0209933,0.0118496,0.00789889,0.00340633
Az_4,0.0030303,0.0028777,0.0194274,0.00616333,0.0073723,0.00103619,0.000138045,0.000305951,0.000508287,0.000207801,0.0161765,0.00206897,0.000422902,0.000192901,0.00020784,0.000279877,0.000294511,0.000506393,0.0463445,0.000408922,0.00132316,0.000271318,0.000396471,0.0045045,0.00666667,0.0115942,0.0520121,0.00118438,0.000273673,0.0246874,0.000354874,0.026203,6.57E-05,0.0370136,0.0180819,0.0038164,0.0392057,0.0203058,0.00577245,0.00365388,0.000182568,0.016385,0.00463679,0.00579252,0.00583942
Az_5,0.0020202,0.00191847,0.0122699,0.00410889,0.00263296,0.000318827,8.28E-05,0.000203967,0.000132597,0.000145461,0.0142157,0.000383142,9.76E-05,6.43E-05,0.000145488,0.000104954,5.35E-05,0.000337595,0.0409664,0.00063197,0.000407125,0.000465116,6.61E-05,0.0025025,0.00410256,0.00338164,0.0522278,0.000320102,0.000171045,0.00117221,0.000248412,0.0191584,0.000459921,0.0487783,0.016983,0.0526414,0.0324734,0.0388379,0.0111692,0.0163594,0.00595173,0.0107527,0.00566718,0.00473934,0.00243309
Ex,14103.5,19740.2,2128.15,1809.79,5501.9,2567.88,4244.46,2487.27,14736.2,9336.58,45.9788,185.803,2.92E+03,9487.93,9340.02,16057,20511.4,5044.62,415.706,2003.51,1619.82,10512.9,2707.89,18438.2,2.04E+04,709.402,8.93E+02,3652.75,2437.6,731.861,6171.86,325.365,4.45E+03,132.562,121.074,292.613,592.574,924.818,756.562,313.931,1.62E+03,1590.47,27781.8,14914.1,8.73E+03
